City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Barranca,PE,-10.75,-77.7667,61.92,83,64,7.67,broken clouds
262,Natal,BR,-5.795,-35.2094,80.82,74,75,13.8,broken clouds
263,High Rock,BS,26.6208,-78.2833,84.06,70,1,11.97,clear sky
264,Guia De Isora,ES,28.2115,-16.7795,80.33,91,32,1.43,scattered clouds
265,Cururupu,BR,-1.8283,-44.8683,76.06,87,88,3.74,overcast clouds
266,Mount Isa,AU,-20.7333,139.5,63.97,54,0,13.94,clear sky
267,Haines Junction,CA,60.7522,-137.5108,62.55,36,74,12.66,broken clouds
268,Ahipara,NZ,-35.1667,173.1667,56.3,89,100,17.72,light rain
269,Vao,NC,-22.6667,167.4833,73.71,87,85,15.03,overcast clouds
270,Naze,JP,28.3667,129.4833,79.72,69,100,0.74,overcast clouds
271,Matay,EG,28.419,30.7792,81.14,42,0,14.43,clear sky
272,Anadyr,RU,64.75,177.4833,50.5,66,40,8.95,scattered clouds
273,Ranong,TH,9.9658,98.6348,77.0,88,99,1.61,overcast clouds
274,Harboore,DK,56.6175,8.1807,50.18,77,37,10.71,scattered clouds
275,Osmanabad,IN,18.1667,76.05,71.33,88,100,11.05,overcast clouds
276,Ancud,CL,-41.8697,-73.8203,46.22,91,100,1.36,overcast clouds
277,Dumai,ID,1.6833,101.45,73.33,97,99,1.36,overcast clouds
278,Torbay,CA,47.6666,-52.7314,79.57,69,20,11.5,few clouds
279,Kenda,IN,23.2,86.5333,76.6,91,84,4.97,heavy intensity rain
280,Mgandu,TZ,-5.95,34.1333,57.18,73,1,7.92,clear sky
281,Manokwari,ID,-0.8667,134.0833,79.66,79,96,4.72,light rain
282,Ippy,CF,6.2679,21.2247,66.69,98,89,1.63,overcast clouds
283,Isangel,VU,-19.55,169.2667,80.15,77,8,12.5,clear sky
284,Hofn,IS,64.2539,-15.2082,52.99,84,77,1.41,broken clouds
285,Porosozero,RU,62.7191,32.727,58.75,97,79,4.54,broken clouds
286,Duluth,US,46.7833,-92.1066,77.54,72,75,5.75,broken clouds
287,Chumikan,RU,54.7183,135.315,66.94,62,64,8.77,broken clouds
288,Bengkulu,ID,-3.8004,102.2655,74.88,89,87,4.63,overcast clouds
289,Nome,US,64.5011,-165.4064,48.27,87,100,13.8,overcast clouds
290,Hamamatsu,JP,34.7,137.7333,80.22,63,100,2.08,overcast clouds
291,Imbituba,BR,-28.24,-48.6703,63.28,96,25,6.78,scattered clouds
292,Tuktoyaktuk,CA,69.4541,-133.0374,39.96,94,100,14.83,overcast clouds
293,San Julian,MX,21.0167,-102.1667,61.14,78,64,18.52,broken clouds
294,Dingle,PH,10.9995,122.6711,79.52,87,81,1.43,broken clouds
295,Japura,ID,-0.3167,102.35,73.33,99,100,0.67,overcast clouds
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.28,83,5,16.53,clear sky
297,Quatre Cocos,MU,-20.2078,57.7625,69.1,77,49,14.76,light rain
298,Valparaiso,CL,-33.0393,-71.6273,53.83,93,100,4.61,fog
299,Hakkari,TR,37.5833,44.1667,59.45,50,3,4.92,clear sky
300,Kodinar,IN,20.7903,70.7031,80.35,83,100,16.2,overcast clouds
301,Zeya,RU,53.75,127.2667,74.19,52,22,1.3,few clouds
302,Carnarvon,AU,-24.8667,113.6333,63.18,64,60,17.4,broken clouds
303,Tagusao,PH,9.1924,117.8141,80.11,82,19,2.73,few clouds
304,Alofi,NU,-19.0595,-169.9187,75.09,73,89,16.11,overcast clouds
305,Honningsvag,NO,70.9821,25.9704,49.75,81,100,17.27,overcast clouds
306,Lloydminster,CA,53.2835,-110.0016,66.42,52,40,5.75,scattered clouds
307,Odweyne,SO,9.4092,45.064,74.68,44,50,20.71,scattered clouds
308,Guye,CN,39.7333,118.4167,75.27,76,2,2.46,clear sky
