City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Bontang,ID,76.28,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
312,Carutapera,BR,77.16,overcast clouds,-1.195,-46.02,Lidera
314,Santa Ines,BR,78.58,broken clouds,-3.6667,-45.38,Palace hotel
321,Jiazi,CN,83.98,few clouds,22.8779,116.067,Hotel Jin Hao
323,Gushikawa,JP,83.77,few clouds,26.3544,127.8686,Kirari Guest House
324,Cozumel,MX,77.0,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
326,Exaplatanos,GR,84.22,clear sky,40.9772,22.125,Deppy's House κοντά στα ΛΟΥΤΡΑ ΠΟΖΑΡ
330,Sola,VU,80.31,few clouds,-13.8833,167.55,Leumerus Bungalows
340,Tabuk,PH,78.39,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
343,Santa Cruz De Tenerife,ES,85.87,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
345,Hobyo,SO,75.52,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
346,North Bend,US,76.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
349,Golden,US,83.25,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
351,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
355,Havelock,US,83.97,broken clouds,34.8791,-76.9013,Sherwood Motel
360,Auburn,US,77.83,broken clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
362,Roma,US,88.83,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
364,Pacific Grove,US,75.54,few clouds,36.6177,-121.9166,Lovers Point Inn
366,Westport,US,87.87,few clouds,41.1415,-73.3579,The Westport Inn
367,Picota,PE,81.12,scattered clouds,-6.9197,-76.3304,Hospedaje Vanessa
370,Columbus,US,86.38,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
382,Lewisporte,CA,79.56,clear sky,49.2499,-55.0482,Ocean View Bed & Breakfast
385,Makakilo City,US,82.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
386,Juegang,CN,75.15,few clouds,32.3174,121.1855,Rudong Y Hotel
389,Tezu,IN,77.27,overcast clouds,27.9167,96.1667,Circuit House
390,San Pedro,PH,82.31,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
395,Aripuana,BR,79.48,clear sky,-9.1667,-60.6333,
396,Usta Muhammad,PK,84.34,overcast clouds,28.1794,68.0445,Hindu Colony
397,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
405,Shamgarh,IN,75.38,overcast clouds,24.1833,75.6333,janhvi namkeen bhandar
407,Atar,MR,79.99,heavy intensity rain,20.5169,-13.0499,Oumou Elghoura
408,Conceicao Do Araguaia,BR,80.69,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
412,Ledyard,US,89.28,clear sky,41.4398,-72.0142,Stonecroft Country Inn
419,Kavieng,PG,83.88,few clouds,-2.5744,150.7967,Nusa Island Retreat
420,Rongcheng,CN,78.04,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
422,Maine-Soroa,NE,84.56,scattered clouds,13.2114,12.0241,Complexe
426,Maragogi,BR,75.11,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
427,Tiznit,MA,88.59,overcast clouds,29.5833,-9.5,
430,Gerash,IR,88.9,broken clouds,27.6652,54.1371,Sa'adat House Gerash
